race_name,year,surname,points
Belgian Grand Prix,2005,Barrichello,4.0
Belgian Grand Prix,2005,Schumacher,0.0
Brazilian Grand Prix,2005,Schumacher,5.0
Brazilian Grand Prix,2005,Barrichello,3.0
Japanese Grand Prix,2005,Schumacher,2.0
Japanese Grand Prix,2005,Barrichello,0.0
Chinese Grand Prix,2005,Barrichello,0.0
Chinese Grand Prix,2005,Schumacher,0.0
Australian Grand Prix,2004,Schumacher,10.0
Australian Grand Prix,2004,Barrichello,8.0
Malaysian Grand Prix,2004,Schumacher,10.0
Malaysian Grand Prix,2004,Barrichello,5.0
Bahrain Grand Prix,2004,Schumacher,10.0
Bahrain Grand Prix,2004,Barrichello,8.0
San Marino Grand Prix,2004,Schumacher,10.0
San Marino Grand Prix,2004,Barrichello,3.0
Spanish Grand Prix,2004,Schumacher,10.0
Spanish Grand Prix,2004,Barrichello,8.0
Monaco Grand Prix,2004,Barrichello,6.0
Monaco Grand Prix,2004,Schumacher,0.0
European Grand Prix,2004,Schumacher,10.0
European Grand Prix,2004,Barrichello,8.0
Canadian Grand Prix,2004,Schumacher,10.0
Canadian Grand Prix,2004,Barrichello,8.0
United States Grand Prix,2004,Schumacher,10.0
United States Grand Prix,2004,Barrichello,8.0
French Grand Prix,2004,Schumacher,10.0
French Grand Prix,2004,Barrichello,6.0
British Grand Prix,2004,Schumacher,10.0
British Grand Prix,2004,Barrichello,6.0
German Grand Prix,2004,Schumacher,10.0
German Grand Prix,2004,Barrichello,0.0
Hungarian Grand Prix,2004,Schumacher,10.0
Hungarian Grand Prix,2004,Barrichello,8.0
Belgian Grand Prix,2004,Schumacher,8.0
Belgian Grand Prix,2004,Barrichello,6.0
Italian Grand Prix,2004,Barrichello,10.0
Italian Grand Prix,2004,Schumacher,8.0
Chinese Grand Prix,2004,Barrichello,10.0
Chinese Grand Prix,2004,Schumacher,0.0
Japanese Grand Prix,2004,Schumacher,10.0
Japanese Grand Prix,2004,Barrichello,0.0
Brazilian Grand Prix,2004,Barrichello,6.0
Brazilian Grand Prix,2004,Schumacher,2.0
Australian Grand Prix,2003,Schumacher,5.0
Australian Grand Prix,2003,Barrichello,0.0
Malaysian Grand Prix,2003,Barrichello,8.0
Malaysian Grand Prix,2003,Schumacher,3.0
Brazilian Grand Prix,2003,Barrichello,0.0
Brazilian Grand Prix,2003,Schumacher,0.0
San Marino Grand Prix,2003,Schumacher,10.0
San Marino Grand Prix,2003,Barrichello,6.0
Spanish Grand Prix,2003,Schumacher,10.0
Spanish Grand Prix,2003,Barrichello,6.0
Austrian Grand Prix,2003,Schumacher,10.0
Austrian Grand Prix,2003,Barrichello,6.0
Monaco Grand Prix,2003,Schumacher,6.0
Monaco Grand Prix,2003,Barrichello,1.0
Canadian Grand Prix,2003,Schumacher,10.0
Canadian Grand Prix,2003,Barrichello,4.0
European Grand Prix,2003,Barrichello,6.0
European Grand Prix,2003,Schumacher,4.0
French Grand Prix,2003,Schumacher,6.0
French Grand Prix,2003,Barrichello,2.0
British Grand Prix,2003,Barrichello,10.0
British Grand Prix,2003,Schumacher,5.0
German Grand Prix,2003,Schumacher,2.0
German Grand Prix,2003,Barrichello,0.0
Hungarian Grand Prix,2003,Schumacher,1.0
Hungarian Grand Prix,2003,Barrichello,0.0
Italian Grand Prix,2003,Schumacher,10.0
Italian Grand Prix,2003,Barrichello,6.0
United States Grand Prix,2003,Schumacher,10.0
United States Grand Prix,2003,Barrichello,0.0
Japanese Grand Prix,2003,Barrichello,10.0
Japanese Grand Prix,2003,Schumacher,1.0
Australian Grand Prix,2002,Schumacher,10.0
Australian Grand Prix,2002,Barrichello,0.0
Malaysian Grand Prix,2002,Schumacher,4.0
Malaysian Grand Prix,2002,Barrichello,0.0
Brazilian Grand Prix,2002,Schumacher,10.0
Brazilian Grand Prix,2002,Barrichello,0.0
San Marino Grand Prix,2002,Schumacher,10.0
San Marino Grand Prix,2002,Barrichello,6.0
Spanish Grand Prix,2002,Schumacher,10.0
Spanish Grand Prix,2002,Barrichello,0.0
Austrian Grand Prix,2002,Schumacher,10.0
Austrian Grand Prix,2002,Barrichello,6.0
Monaco Grand Prix,2002,Schumacher,6.0
Monaco Grand Prix,2002,Barrichello,0.0
Canadian Grand Prix,2002,Schumacher,10.0
Canadian Grand Prix,2002,Barrichello,4.0
European Grand Prix,2002,Barrichello,10.0
European Grand Prix,2002,Schumacher,6.0
British Grand Prix,2002,Schumacher,10.0
British Grand Prix,2002,Barrichello,6.0
French Grand Prix,2002,Schumacher,10.0
French Grand Prix,2002,Barrichello,0.0
German Grand Prix,2002,Schumacher,10.0
German Grand Prix,2002,Barrichello,3.0
Hungarian Grand Prix,2002,Barrichello,10.0
Hungarian Grand Prix,2002,Schumacher,6.0
Belgian Grand Prix,2002,Schumacher,10.0
Belgian Grand Prix,2002,Barrichello,6.0
Italian Grand Prix,2002,Barrichello,10.0
Italian Grand Prix,2002,Schumacher,6.0
United States Grand Prix,2002,Barrichello,10.0
United States Grand Prix,2002,Schumacher,6.0
Japanese Grand Prix,2002,Schumacher,10.0
Japanese Grand Prix,2002,Barrichello,6.0
Australian Grand Prix,2001,Schumacher,10.0
Australian Grand Prix,2001,Barrichello,4.0
Malaysian Grand Prix,2001,Schumacher,10.0
Malaysian Grand Prix,2001,Barrichello,6.0
Brazilian Grand Prix,2001,Schumacher,6.0
Brazilian Grand Prix,2001,Barrichello,0.0
San Marino Grand Prix,2001,Barrichello,4.0
San Marino Grand Prix,2001,Schumacher,0.0
Spanish Grand Prix,2001,Schumacher,10.0
Spanish Grand Prix,2001,Barrichello,0.0
Austrian Grand Prix,2001,Schumacher,6.0
Austrian Grand Prix,2001,Barrichello,4.0
Monaco Grand Prix,2001,Schumacher,10.0
Monaco Grand Prix,2001,Barrichello,6.0
Canadian Grand Prix,2001,Schumacher,6.0
Canadian Grand Prix,2001,Barrichello,0.0
European Grand Prix,2001,Schumacher,10.0
European Grand Prix,2001,Barrichello,2.0
French Grand Prix,2001,Schumacher,10.0
French Grand Prix,2001,Barrichello,4.0
British Grand Prix,2001,Schumacher,6.0
British Grand Prix,2001,Barrichello,4.0
German Grand Prix,2001,Barrichello,6.0
German Grand Prix,2001,Schumacher,0.0
Hungarian Grand Prix,2001,Schumacher,10.0
Hungarian Grand Prix,2001,Barrichello,6.0
Belgian Grand Prix,2001,Schumacher,10.0
Belgian Grand Prix,2001,Barrichello,2.0
Italian Grand Prix,2001,Barrichello,6.0
Italian Grand Prix,2001,Schumacher,3.0
United States Grand Prix,2001,Schumacher,6.0
United States Grand Prix,2001,Barrichello,0.0
Japanese Grand Prix,2001,Schumacher,10.0
Japanese Grand Prix,2001,Barrichello,2.0
Australian Grand Prix,2000,Schumacher,10.0
Australian Grand Prix,2000,Barrichello,6.0
Brazilian Grand Prix,2000,Schumacher,10.0
Brazilian Grand Prix,2000,Barrichello,0.0
San Marino Grand Prix,2000,Schumacher,10.0
San Marino Grand Prix,2000,Barrichello,3.0
British Grand Prix,2000,Schumacher,4.0
British Grand Prix,2000,Barrichello,0.0
Spanish Grand Prix,2000,Barrichello,4.0
Spanish Grand Prix,2000,Schumacher,2.0
European Grand Prix,2000,Schumacher,10.0
European Grand Prix,2000,Barrichello,3.0
Monaco Grand Prix,2000,Barrichello,6.0
Monaco Grand Prix,2000,Schumacher,0.0
Canadian Grand Prix,2000,Schumacher,10.0
Canadian Grand Prix,2000,Barrichello,6.0
French Grand Prix,2000,Barrichello,4.0
French Grand Prix,2000,Schumacher,0.0
Austrian Grand Prix,2000,Barrichello,4.0
Austrian Grand Prix,2000,Schumacher,0.0
German Grand Prix,2000,Barrichello,10.0
German Grand Prix,2000,Schumacher,0.0
Hungarian Grand Prix,2000,Schumacher,6.0
Hungarian Grand Prix,2000,Barrichello,3.0
Belgian Grand Prix,2000,Schumacher,6.0
Belgian Grand Prix,2000,Barrichello,0.0
Italian Grand Prix,2000,Schumacher,10.0
Italian Grand Prix,2000,Barrichello,0.0
United States Grand Prix,2000,Schumacher,10.0
United States Grand Prix,2000,Barrichello,6.0
Japanese Grand Prix,2000,Schumacher,10.0
Japanese Grand Prix,2000,Barrichello,3.0
Malaysian Grand Prix,2000,Schumacher,10.0
Malaysian Grand Prix,2000,Barrichello,4.0
Australian Grand Prix,1999,Irvine,10.0
Australian Grand Prix,1999,Schumacher,0.0
Brazilian Grand Prix,1999,Schumacher,6.0
Brazilian Grand Prix,1999,Irvine,2.0
San Marino Grand Prix,1999,Schumacher,10.0
San Marino Grand Prix,1999,Irvine,0.0
Monaco Grand Prix,1999,Schumacher,10.0
Monaco Grand Prix,1999,Irvine,6.0
Spanish Grand Prix,1999,Schumacher,4.0
Spanish Grand Prix,1999,Irvine,3.0
Canadian Grand Prix,1999,Irvine,4.0
Canadian Grand Prix,1999,Schumacher,0.0
French Grand Prix,1999,Schumacher,2.0
French Grand Prix,1999,Irvine,1.0
British Grand Prix,1999,Irvine,6.0
British Grand Prix,1999,Schumacher,0.0
Austrian Grand Prix,1999,Irvine,10.0
Austrian Grand Prix,1999,Salo,0.0
German Grand Prix,1999,Irvine,10.0
German Grand Prix,1999,Salo,6.0
Hungarian Grand Prix,1999,Irvine,4.0
Hungarian Grand Prix,1999,Salo,0.0
Belgian Grand Prix,1999,Irvine,3.0
Belgian Grand Prix,1999,Salo,0.0
Italian Grand Prix,1999,Salo,4.0
Italian Grand Prix,1999,Irvine,1.0
European Grand Prix,1999,Irvine,0.0
European Grand Prix,1999,Salo,0.0
Malaysian Grand Prix,1999,Irvine,10.0
Malaysian Grand Prix,1999,Schumacher,6.0
Japanese Grand Prix,1999,Schumacher,6.0
Japanese Grand Prix,1999,Irvine,4.0
Australian Grand Prix,1998,Irvine,3.0
Australian Grand Prix,1998,Schumacher,0.0
Brazilian Grand Prix,1998,Schumacher,4.0
Brazilian Grand Prix,1998,Irvine,0.0
Argentine Grand Prix,1998,Schumacher,10.0
Argentine Grand Prix,1998,Irvine,4.0
San Marino Grand Prix,1998,Schumacher,6.0
San Marino Grand Prix,1998,Irvine,4.0
Spanish Grand Prix,1998,Schumacher,4.0
Spanish Grand Prix,1998,Irvine,0.0
Monaco Grand Prix,1998,Irvine,4.0
Monaco Grand Prix,1998,Schumacher,0.0
Canadian Grand Prix,1998,Schumacher,10.0
Canadian Grand Prix,1998,Irvine,4.0
French Grand Prix,1998,Schumacher,10.0
French Grand Prix,1998,Irvine,6.0
British Grand Prix,1998,Schumacher,10.0
British Grand Prix,1998,Irvine,4.0
Austrian Grand Prix,1998,Schumacher,4.0
Austrian Grand Prix,1998,Irvine,3.0
German Grand Prix,1998,Schumacher,2.0
German Grand Prix,1998,Irvine,0.0
Hungarian Grand Prix,1998,Schumacher,10.0
Hungarian Grand Prix,1998,Irvine,0.0
Belgian Grand Prix,1998,Schumacher,0.0
Belgian Grand Prix,1998,Irvine,0.0
Italian Grand Prix,1998,Schumacher,10.0
Italian Grand Prix,1998,Irvine,6.0
Luxembourg Grand Prix,1998,Schumacher,6.0
Luxembourg Grand Prix,1998,Irvine,3.0
Japanese Grand Prix,1998,Irvine,6.0
Japanese Grand Prix,1998,Schumacher,0.0
Australian Grand Prix,1997,Schumacher,6.0
Australian Grand Prix,1997,Irvine,0.0
Brazilian Grand Prix,1997,Schumacher,2.0
Brazilian Grand Prix,1997,Irvine,0.0
Argentine Grand Prix,1997,Irvine,6.0
Argentine Grand Prix,1997,Schumacher,0.0
San Marino Grand Prix,1997,Schumacher,6.0
San Marino Grand Prix,1997,Irvine,4.0
Monaco Grand Prix,1997,Schumacher,10.0
Monaco Grand Prix,1997,Irvine,4.0
Spanish Grand Prix,1997,Schumacher,3.0
Spanish Grand Prix,1997,Irvine,0.0
Canadian Grand Prix,1997,Schumacher,10.0
Canadian Grand Prix,1997,Irvine,0.0
French Grand Prix,1997,Schumacher,10.0
French Grand Prix,1997,Irvine,4.0
British Grand Prix,1997,Irvine,0.0
British Grand Prix,1997,Schumacher,0.0
German Grand Prix,1997,Schumacher,6.0
German Grand Prix,1997,Irvine,0.0
Hungarian Grand Prix,1997,Schumacher,3.0
Hungarian Grand Prix,1997,Irvine,0.0
Belgian Grand Prix,1997,Schumacher,10.0
Belgian Grand Prix,1997,Irvine,0.0
Italian Grand Prix,1997,Schumacher,1.0
Italian Grand Prix,1997,Irvine,0.0
Austrian Grand Prix,1997,Schumacher,1.0
Austrian Grand Prix,1997,Irvine,0.0
Luxembourg Grand Prix,1997,Irvine,0.0
Luxembourg Grand Prix,1997,Schumacher,0.0
Japanese Grand Prix,1997,Schumacher,10.0
Japanese Grand Prix,1997,Irvine,4.0
European Grand Prix,1997,Irvine,2.0
European Grand Prix,1997,Schumacher,0.0
Australian Grand Prix,1996,Irvine,4.0
Australian Grand Prix,1996,Schumacher,0.0
Brazilian Grand Prix,1996,Schumacher,4.0
Brazilian Grand Prix,1996,Irvine,0.0
Argentine Grand Prix,1996,Irvine,2.0
Argentine Grand Prix,1996,Schumacher,0.0
European Grand Prix,1996,Schumacher,6.0
European Grand Prix,1996,Irvine,0.0
San Marino Grand Prix,1996,Schumacher,6.0
San Marino Grand Prix,1996,Irvine,3.0
Monaco Grand Prix,1996,Irvine,0.0
Monaco Grand Prix,1996,Schumacher,0.0
Spanish Grand Prix,1996,Schumacher,10.0
Spanish Grand Prix,1996,Irvine,0.0
Canadian Grand Prix,1996,Schumacher,0.0
Canadian Grand Prix,1996,Irvine,0.0
French Grand Prix,1996,Irvine,0.0
French Grand Prix,1996,Schumacher,0.0
British Grand Prix,1996,Irvine,0.0
British Grand Prix,1996,Schumacher,0.0
German Grand Prix,1996,Schumacher,3.0
German Grand Prix,1996,Irvine,0.0
Hungarian Grand Prix,1996,Schumacher,0.0
Hungarian Grand Prix,1996,Irvine,0.0
Belgian Grand Prix,1996,Schumacher,10.0
Belgian Grand Prix,1996,Irvine,0.0
Italian Grand Prix,1996,Schumacher,10.0
Italian Grand Prix,1996,Irvine,0.0
Portuguese Grand Prix,1996,Schumacher,4.0
Portuguese Grand Prix,1996,Irvine,2.0
Japanese Grand Prix,1996,Schumacher,6.0
Japanese Grand Prix,1996,Irvine,0.0
Brazilian Grand Prix,1995,Berger,4.0
Brazilian Grand Prix,1995,Alesi,2.0
Argentine Grand Prix,1995,Alesi,6.0
Argentine Grand Prix,1995,Berger,1.0
San Marino Grand Prix,1995,Alesi,6.0
San Marino Grand Prix,1995,Berger,4.0
Spanish Grand Prix,1995,Berger,4.0
Spanish Grand Prix,1995,Alesi,0.0
Monaco Grand Prix,1995,Berger,4.0
Monaco Grand Prix,1995,Alesi,0.0
Canadian Grand Prix,1995,Alesi,10.0
Canadian Grand Prix,1995,Berger,0.0
French Grand Prix,1995,Alesi,2.0
French Grand Prix,1995,Berger,0.0
British Grand Prix,1995,Alesi,6.0
British Grand Prix,1995,Berger,0.0
German Grand Prix,1995,Berger,4.0
German Grand Prix,1995,Alesi,0.0
Hungarian Grand Prix,1995,Berger,4.0
Hungarian Grand Prix,1995,Alesi,0.0
Belgian Grand Prix,1995,Berger,0.0
Belgian Grand Prix,1995,Alesi,0.0
Italian Grand Prix,1995,Alesi,0.0
Italian Grand Prix,1995,Berger,0.0
Portuguese Grand Prix,1995,Berger,3.0
Portuguese Grand Prix,1995,Alesi,2.0
European Grand Prix,1995,Alesi,6.0
European Grand Prix,1995,Berger,0.0
Pacific Grand Prix,1995,Berger,3.0
Pacific Grand Prix,1995,Alesi,2.0
Japanese Grand Prix,1995,Alesi,0.0
Japanese Grand Prix,1995,Berger,0.0
Australian Grand Prix,1995,Berger,0.0
Australian Grand Prix,1995,Alesi,0.0
Brazilian Grand Prix,1994,Alesi,4.0
Brazilian Grand Prix,1994,Berger,0.0
Pacific Grand Prix,1994,Berger,6.0
Pacific Grand Prix,1994,Larini,0.0
San Marino Grand Prix,1994,Larini,6.0
San Marino Grand Prix,1994,Berger,0.0
Monaco Grand Prix,1994,Berger,4.0
Monaco Grand Prix,1994,Alesi,2.0
Spanish Grand Prix,1994,Alesi,3.0
Spanish Grand Prix,1994,Berger,0.0
Canadian Grand Prix,1994,Alesi,4.0
Canadian Grand Prix,1994,Berger,3.0
French Grand Prix,1994,Berger,4.0
French Grand Prix,1994,Alesi,0.0
British Grand Prix,1994,Alesi,6.0
British Grand Prix,1994,Berger,0.0
German Grand Prix,1994,Berger,10.0
German Grand Prix,1994,Alesi,0.0
Hungarian Grand Prix,1994,Berger,0.0
Hungarian Grand Prix,1994,Alesi,0.0
Belgian Grand Prix,1994,Berger,0.0
Belgian Grand Prix,1994,Alesi,0.0
Italian Grand Prix,1994,Berger,6.0
Italian Grand Prix,1994,Alesi,0.0
Portuguese Grand Prix,1994,Alesi,0.0
Portuguese Grand Prix,1994,Berger,0.0
European Grand Prix,1994,Berger,2.0
European Grand Prix,1994,Alesi,0.0
Japanese Grand Prix,1994,Alesi,4.0
Japanese Grand Prix,1994,Berger,0.0
Australian Grand Prix,1994,Berger,6.0
Australian Grand Prix,1994,Alesi,1.0
South African Grand Prix,1993,Berger,1.0
South African Grand Prix,1993,Alesi,0.0
Brazilian Grand Prix,1993,Alesi,0.0
Brazilian Grand Prix,1993,Berger,0.0
European Grand Prix,1993,Alesi,0.0
European Grand Prix,1993,Berger,0.0
San Marino Grand Prix,1993,Alesi,0.0
San Marino Grand Prix,1993,Berger,0.0
Spanish Grand Prix,1993,Berger,1.0
Spanish Grand Prix,1993,Alesi,0.0
Monaco Grand Prix,1993,Alesi,4.0
Monaco Grand Prix,1993,Berger,0.0
Canadian Grand Prix,1993,Berger,3.0
Canadian Grand Prix,1993,Alesi,0.0
French Grand Prix,1993,Berger,0.0
French Grand Prix,1993,Alesi,0.0
British Grand Prix,1993,Alesi,0.0
British Grand Prix,1993,Berger,0.0
German Grand Prix,1993,Berger,1.0
German Grand Prix,1993,Alesi,0.0
Hungarian Grand Prix,1993,Berger,4.0
Hungarian Grand Prix,1993,Alesi,0.0
Belgian Grand Prix,1993,Berger,0.0
Belgian Grand Prix,1993,Alesi,0.0
Italian Grand Prix,1993,Alesi,6.0
Italian Grand Prix,1993,Berger,0.0
Portuguese Grand Prix,1993,Alesi,3.0
Portuguese Grand Prix,1993,Berger,0.0
Japanese Grand Prix,1993,Berger,0.0
Japanese Grand Prix,1993,Alesi,0.0
Australian Grand Prix,1993,Alesi,3.0
Australian Grand Prix,1993,Berger,2.0
South African Grand Prix,1992,Alesi,0.0
South African Grand Prix,1992,Capelli,0.0
Mexican Grand Prix,1992,Alesi,0.0
Mexican Grand Prix,1992,Capelli,0.0
Brazilian Grand Prix,1992,Alesi,3.0
Brazilian Grand Prix,1992,Capelli,2.0
Spanish Grand Prix,1992,Alesi,4.0
Spanish Grand Prix,1992,Capelli,0.0
San Marino Grand Prix,1992,Alesi,0.0
San Marino Grand Prix,1992,Capelli,0.0
Monaco Grand Prix,1992,Capelli,0.0
Monaco Grand Prix,1992,Alesi,0.0
Canadian Grand Prix,1992,Alesi,4.0
Canadian Grand Prix,1992,Capelli,0.0
French Grand Prix,1992,Alesi,0.0
French Grand Prix,1992,Capelli,0.0
British Grand Prix,1992,Capelli,0.0
British Grand Prix,1992,Alesi,0.0
German Grand Prix,1992,Alesi,2.0
German Grand Prix,1992,Capelli,0.0
Hungarian Grand Prix,1992,Capelli,1.0
Hungarian Grand Prix,1992,Alesi,0.0
Belgian Grand Prix,1992,Capelli,0.0
Belgian Grand Prix,1992,Alesi,0.0
Italian Grand Prix,1992,Alesi,0.0
Italian Grand Prix,1992,Capelli,0.0
Portuguese Grand Prix,1992,Capelli,0.0
Portuguese Grand Prix,1992,Alesi,0.0
Japanese Grand Prix,1992,Alesi,2.0
Japanese Grand Prix,1992,Larini,0.0
Australian Grand Prix,1992,Alesi,3.0
Australian Grand Prix,1992,Larini,0.0
United States Grand Prix,1991,Prost,6.0
United States Grand Prix,1991,Alesi,0.0
Brazilian Grand Prix,1991,Prost,3.0
Brazilian Grand Prix,1991,Alesi,1.0
San Marino Grand Prix,1991,Alesi,0.0
San Marino Grand Prix,1991,Prost,0.0
Monaco Grand Prix,1991,Alesi,4.0
Monaco Grand Prix,1991,Prost,2.0
Canadian Grand Prix,1991,Alesi,0.0
Canadian Grand Prix,1991,Prost,0.0
Mexican Grand Prix,1991,Alesi,0.0
Mexican Grand Prix,1991,Prost,0.0
French Grand Prix,1991,Prost,6.0
French Grand Prix,1991,Alesi,3.0
British Grand Prix,1991,Prost,4.0
British Grand Prix,1991,Alesi,0.0
German Grand Prix,1991,Alesi,4.0
German Grand Prix,1991,Prost,0.0
Hungarian Grand Prix,1991,Alesi,2.0
Hungarian Grand Prix,1991,Prost,0.0
Belgian Grand Prix,1991,Alesi,0.0
Belgian Grand Prix,1991,Prost,0.0
Italian Grand Prix,1991,Prost,4.0
Italian Grand Prix,1991,Alesi,0.0
Portuguese Grand Prix,1991,Alesi,4.0
Portuguese Grand Prix,1991,Prost,0.0
Spanish Grand Prix,1991,Prost,6.0
Spanish Grand Prix,1991,Alesi,3.0
Japanese Grand Prix,1991,Prost,3.0
Japanese Grand Prix,1991,Alesi,0.0
Australian Grand Prix,1991,Morbidelli,0.5
Australian Grand Prix,1991,Alesi,0.0
United States Grand Prix,1990,Mansell,0.0
United States Grand Prix,1990,Prost,0.0
Brazilian Grand Prix,1990,Prost,9.0
Brazilian Grand Prix,1990,Mansell,3.0
San Marino Grand Prix,1990,Prost,3.0
San Marino Grand Prix,1990,Mansell,0.0
Monaco Grand Prix,1990,Mansell,0.0
Monaco Grand Prix,1990,Prost,0.0
Canadian Grand Prix,1990,Mansell,4.0
